id,area,question,auth_context,route,llm_used,answer,validation_fail,self_healed,ground_truth,ground_truth_match,dirty_dev_data,score,verdict,notes
1,stats_aggregates,which teams have been the most frequent winners across all the matches so far?,anon,stat_leaderboard,false,"4 games are tied for the most goals (6 each): Everton 3-3 Manchester City (Group Stage), Aston Villa 4-2 Liverpool (Group Stage), Bayern München 5-1 1. FC Köln (Group Stage), Real Madrid 4-2 Athletic Club (friendly).",,,n/a,n/a,yes,100,PASS,
2,stats_aggregates,"looking across all the matches so far, what's the most common number of red cards shown in a single match?",anon,team_stat,false,I don't have any completed games for Blooming yet.,,,n/a,n/a,yes,100,PASS,
3,stats_aggregates,how many games in this tournament had at least one own goal? and how many went to extra time?,anon,,false,"210 goals have been scored across 94 completed games so far. |  | Which game? Name both teams, e.g. ""who scored in Everton vs Manchester City?""",,,n/a,n/a,yes,100,PASS,
4,stats_aggregates,hw mny corners has psg won in total?,anon,team_stat,false,I don't have any completed games for Paris Saint Germain yet.,,,n/a,n/a,yes,100,PASS,
5,stats_aggregates,does arsenal's goals tally for the tournament include the psg friendly or is that excluded?,anon,understand_fallback,true,Paris Saint Germain 1-1 Arsenal (friendly): | Paris Saint Germain: 75% poss · 21 shots (4 on target) · 11 corners · 11 fouls · 2Y 0R · 0 offside · xG 1.7 | Arsenal: 25% poss · 7 shots (1 on target) · 3 corners · 17 fouls · 4Y 0R · 3 offside · xG 0.5 | After extra time: 1-1. Penalties: 4-3. Paris Saint Germain advanced.,,,n/a,n/a,yes,100,PASS,
6,stats_aggregates,how many total goals were scored in the arsenal vs psg game once you add in extra time and the penalty shootout?,anon,game_stat_single,false,Paris Saint Germain 1-1 Arsenal (friendly): Paris Saint Germain 21 shots (4 on target) · Arsenal 7 shots (1 on target). After extra time: 1-1. Penalties: 4-3. Paris Saint Germain advanced.,,,n/a,n/a,yes,100,PASS,
7,stats_aggregates,"combined red and yellow cards for morocco, japan and ecuador — what's the total?",anon,game_stat_single,false,I couldn't find a completed game between Ecuador and Morocco.,,,n/a,n/a,no,100,PASS,
8,stats_aggregates,"of netherlands, senegal and uruguay, which one has the best goal difference?",anon,stat_leaderboard,false,"3 players are tied for top scorer with 4 goals each: Jérémy Doku (Manchester City), Marcus Rashford (Barcelona), Jean-Philippe Mateta (Crystal Palace).",off_topic_entity,,n/a,n/a,yes,60,PARTIAL,validation_fail=off_topic_entity
9,stats_aggregates,how many of those were penalties?,anon,schedule,false,No upcoming games are scheduled.,,,n/a,n/a,no,100,PASS,
10,stats_aggregates,which matches had the most offsides called in them?,anon,stat_leaderboard,false,"Bayern München is caught offside the most, 5.0 per game.",,,n/a,n/a,yes,100,PASS,
